package	architecture	version	archive	size	sha256	suites	components	repositoryFilename	publishedSha256
libctf-nobfd0	amd64	2.42-4ubuntu2.10	libctf-nobfd0_2.42-4ubuntu2.10_amd64.deb	98012	da352eb7fa6c4369d2a6c1e5e680f574eda2e38576563326b18d9e47e61c4078	noble-updates	main	pool/main/b/binutils/libctf-nobfd0_2.42-4ubuntu2.10_amd64.deb	da352eb7fa6c4369d2a6c1e5e680f574eda2e38576563326b18d9e47e61c4078
libctf0	amd64	2.42-4ubuntu2.10	libctf0_2.42-4ubuntu2.10_amd64.deb	94474	7ec86d697c3668503c85f308a6832f092075b5880ad002f22185264da0bd4645	noble-updates	main	pool/main/b/binutils/libctf0_2.42-4ubuntu2.10_amd64.deb	7ec86d697c3668503c85f308a6832f092075b5880ad002f22185264da0bd4645
libdpkg-perl	all	1.22.6ubuntu6.6	libdpkg-perl_1.22.6ubuntu6.6_all.deb	268420	db57f9f0608f78001b5f468e03541fdb88b7e30a07b46d0bcdb57a916a6e8c11	noble-security,noble-updates	main	pool/main/d/dpkg/libdpkg-perl_1.22.6ubuntu6.6_all.deb	db57f9f0608f78001b5f468e03541fdb88b7e30a07b46d0bcdb57a916a6e8c11
libexpat1	amd64	2.6.1-2ubuntu0.4	libexpat1_2.6.1-2ubuntu0.4_amd64.deb	88214	126a5612e652bdc2edee19ae8fe4308db72b5b3b0a5581bf885b44a093baf3e5	noble-security,noble-updates	main	pool/main/e/expat/libexpat1_2.6.1-2ubuntu0.4_amd64.deb	126a5612e652bdc2edee19ae8fe4308db72b5b3b0a5581bf885b44a093baf3e5
libgcc-13-dev	amd64	13.3.0-6ubuntu2~24.04.1	libgcc-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	2680642	cd689db2691edaa10f37329307292796bb599e722e0505c79e14caaa1fe9a93a	noble-security,noble-updates	main	pool/main/g/gcc-13/libgcc-13-dev_13.3.0-6ubuntu2~24.04.1_amd64.deb	cd689db2691edaa10f37329307292796bb599e722e0505c79e14caaa1fe9a93a
libgdbm-compat4t64	amd64	1.23-5.1build1	libgdbm-compat4t64_1.23-5.1build1_amd64.deb	6710	fb8564afd7b7d74d55207070ba50339478e22d29a39ec740dc482f069ac7ee65	noble	main	pool/main/g/gdbm/libgdbm-compat4t64_1.23-5.1build1_amd64.deb	fb8564afd7b7d74d55207070ba50339478e22d29a39ec740dc482f069ac7ee65
libgdbm6t64	amd64	1.23-5.1build1	libgdbm6t64_1.23-5.1build1_amd64.deb	34440	18d6d74a5c038b458d95ba0c0909e0f086cd50bb9a0fee32697902724fc5645e	noble	main	pool/main/g/gdbm/libgdbm6t64_1.23-5.1build1_amd64.deb	18d6d74a5c038b458d95ba0c0909e0f086cd50bb9a0fee32697902724fc5645e
libgomp1	amd64	14.2.0-4ubuntu2~24.04.1	libgomp1_14.2.0-4ubuntu2~24.04.1_amd64.deb	148062	e8a95ec58125b4933597f30ff56c2ae10edf90f287262e366d4b6edea3019144	noble-security,noble-updates	main	pool/main/g/gcc-14/libgomp1_14.2.0-4ubuntu2~24.04.1_amd64.deb	e8a95ec58125b4933597f30ff56c2ae10edf90f287262e366d4b6edea3019144
libgprofng0	amd64	2.42-4ubuntu2.10	libgprofng0_2.42-4ubuntu2.10_amd64.deb	848684	1b7e3c2fc162e8358ca6e5a3fffdb4d0d632f790630323215841bb36a63c0ab8	noble-updates	main	pool/main/b/binutils/libgprofng0_2.42-4ubuntu2.10_amd64.deb	1b7e3c2fc162e8358ca6e5a3fffdb4d0d632f790630323215841bb36a63c0ab8
libhwasan0	amd64	14.2.0-4ubuntu2~24.04.1	libhwasan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	1640706	2195318cfe68fe16b601913ef7b33c9a900372f57861643fdc9ae6fef84534cd	noble-security,noble-updates	main	pool/main/g/gcc-14/libhwasan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	2195318cfe68fe16b601913ef7b33c9a900372f57861643fdc9ae6fef84534cd
libisl23	amd64	0.26-3build1.1	libisl23_0.26-3build1.1_amd64.deb	679812	4e040926e50fb961fae9bf95660189d468336a4a17bc321872c434fc8f777e7f	noble-updates	main	pool/main/i/isl/libisl23_0.26-3build1.1_amd64.deb	4e040926e50fb961fae9bf95660189d468336a4a17bc321872c434fc8f777e7f
libitm1	amd64	14.2.0-4ubuntu2~24.04.1	libitm1_14.2.0-4ubuntu2~24.04.1_amd64.deb	29702	1fca498129dd3510294809d77ee754f72a9de281111200e9b7b9a5adf37faa9f	noble-security,noble-updates	main	pool/main/g/gcc-14/libitm1_14.2.0-4ubuntu2~24.04.1_amd64.deb	1fca498129dd3510294809d77ee754f72a9de281111200e9b7b9a5adf37faa9f
libjansson4	amd64	2.14-2build2	libjansson4_2.14-2build2_amd64.deb	32830	0cf79113f5d193ce9af2be2ff4b2c3b30dd4e55a0b6c47f7d28f6c849ff3aa60	noble	main	pool/main/j/jansson/libjansson4_2.14-2build2_amd64.deb	0cf79113f5d193ce9af2be2ff4b2c3b30dd4e55a0b6c47f7d28f6c849ff3aa60
libjpeg-turbo8	amd64	2.1.5-2ubuntu2	libjpeg-turbo8_2.1.5-2ubuntu2_amd64.deb	149982	f68b5b23bc8a1688fb787d2aed7e2cdf895a73022f6a5025e183162dac4500b2	noble	main	pool/main/libj/libjpeg-turbo/libjpeg-turbo8_2.1.5-2ubuntu2_amd64.deb	f68b5b23bc8a1688fb787d2aed7e2cdf895a73022f6a5025e183162dac4500b2
libjpeg8	amd64	8c-2ubuntu11	libjpeg8_8c-2ubuntu11_amd64.deb	2148	4d6ed682972bddf62af158a06d68a0dda497e421423b7ca92fb450b3d9ceaac9	noble	main	pool/main/libj/libjpeg8-empty/libjpeg8_8c-2ubuntu11_amd64.deb	4d6ed682972bddf62af158a06d68a0dda497e421423b7ca92fb450b3d9ceaac9
liblcms2-2	amd64	2.14-2ubuntu0.1	liblcms2-2_2.14-2ubuntu0.1_amd64.deb	160898	f48368ce55ac35c4723a158c74f2c48f4398570d6f3207874e3a14e1cdada71d	noble-security,noble-updates	main	pool/main/l/lcms2/liblcms2-2_2.14-2ubuntu0.1_amd64.deb	f48368ce55ac35c4723a158c74f2c48f4398570d6f3207874e3a14e1cdada71d
liblsan0	amd64	14.2.0-4ubuntu2~24.04.1	liblsan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	1321652	dc0c2a1a053e833ba4d71e1ec2ba4244fe301761ad4a91d6725f927a52d86a14	noble-security,noble-updates	main	pool/main/g/gcc-14/liblsan0_14.2.0-4ubuntu2~24.04.1_amd64.deb	dc0c2a1a053e833ba4d71e1ec2ba4244fe301761ad4a91d6725f927a52d86a14
libmagic-mgc	amd64	1:5.45-3build1	libmagic-mgc_1%3a5.45-3build1_amd64.deb	307366	f0ed0e314a63ae1b7e5403d7e43a26c6e0c0ee69e9a305babcf9c6775607377a	noble	main	pool/main/f/file/libmagic-mgc_5.45-3build1_amd64.deb	f0ed0e314a63ae1b7e5403d7e43a26c6e0c0ee69e9a305babcf9c6775607377a
libmagic1t64	amd64	1:5.45-3build1	libmagic1t64_1%3a5.45-3build1_amd64.deb	87240	fc2319f342c437e044ccf854e0c95bd472a7eb0b9363e1f76ad1524ab04df68e	noble	main	pool/main/f/file/libmagic1t64_5.45-3build1_amd64.deb	fc2319f342c437e044ccf854e0c95bd472a7eb0b9363e1f76ad1524ab04df68e
